time,N_cells,CO2,BGE,rcell,r,E,V
0.0,99.99999999999999,0.0,1.0,9.094130924283523e-8,1.5063497590644839,1.3456240941092679e-5,1.4951378823436312e-6
0.3155356722472283,100.0634680922101,8.145350172471609e-7,0.9483667702721357,1.427713713434105e-7,1.3559873952168893,1.2612118546189745e-5,2.3487496321449097e-6
0.730405908197552,101.59465157399298,2.364210766029952e-6,0.8653179246002096,2.3477359138778606e-7,1.116065391818875,1.1268410364971804e-5,3.921390856206088e-6
1.3200873299078837,110.19713192446869,5.4553284295435756e-6,0.7512539756224488,3.781204419395286e-7,0.7984236584253747,9.625518714142093e-6,6.8504719324470955e-6
2.0034287849194756,134.9055715308996,1.0158844922210888e-5,0.6650461454579711,4.900232431147767e-7,0.5881777480281878,9.30181813441772e-6,1.086842491908893e-5
2.877779424518626,193.67892890346363,1.8357176172223145e-5,0.6120208028334755,5.425803347173024e-7,0.498816142780508,1.1680744607754812e-5,1.727692575377592e-5
4.21574924023194,358.69633559233034,3.906342911796148e-5,0.5785741311114605,5.567786729538685e-7,0.47559868578914116,2.0795610912438502e-5,3.2834437047755216e-5
5.677523411599161,712.3209016581862,8.266746352288913e-5,0.5629973731634168,5.581385651846936e-7,0.4733947717342374,4.1137925666997964e-5,6.53638707784347e-5
7.210753620848202,1464.5175483218136,0.00017527912031460453,0.5554052441571442,5.582397848392738e-7,0.47323086700757455,8.455438227780696e-5,0.00013441118430748933
8.748931161813728,3018.2817740012474,0.00036656123222466756,0.551791259149718,5.582462615059559e-7,0.4732203800027751,0.00017425823571070613,0.0002770165062789542
10.287108702779253,6220.528896028834,0.0007607850563919698,0.550054941342807,5.582466771898414e-7,0.4732197069270852,0.0003591371477672828,0.0005709176922993089
11.82528624374478,12820.199971072709,0.0015732671043436801,0.5492153699896661,5.58246840005315e-7,0.47321944328952126,0.0007401634159411647,0.0011766332476559884
13.363463784710305,26421.767781523464,0.003247777993366541,0.5488067108949024,5.582472008760989e-7,0.47321885895404897,0.0015254368764173805,0.002424981716446837
14.90164132567583,54453.78309998206,0.006698967995547478,0.5486040775641144,5.582479817574917e-7,0.47321759452427214,0.0031438329475488697,0.004997758447421789
16.439818866641357,112225.72102635908,0.013812144450357241,0.5484963851846587,5.582496167358707e-7,0.4732149471163479,0.006479205970943192,0.010300086717040571
17.977996407606884,231287.90711975825,0.028473932087643893,0.5484246427106989,5.582530249536023e-7,0.4732094284416761,0.013352976754551675,0.021227754411720905
19.516173948572412,476656.386618984,0.05869918325045609,0.548349298625733,5.582601809626433e-7,0.4731978413218548,0.02751830834336446,0.04374839370614302
21.05435148953794,982292.2142055822,0.12102653419052964,0.5482276853893319,5.582754950227372e-7,0.47317304490381645,0.056707183451189164,0.0901590466478079
22.592529030503467,2.0241259020933164e6,0.2496319520374378,0.5479865806042709,5.583096699690513e-7,0.47311771074842224,0.1168402900614722,0.18579444142379714
24.130706571468995,4.1700354444431025e6,0.5153742763830024,0.5474616162070565,5.583935427817488e-7,0.4729819182905408,0.24065289482211522,0.3828249015481391
25.28970930568524,7.186554940127349e6,0.8912238915076045,0.5466154436269691,5.58555824413087e-7,0.47271921818679535,0.41454460130257054,0.6599444521502462
26.076046480169953,1.0391166881968591e7,1.2943813460848586,0.5455128174276815,5.588279306361982e-7,0.47227884683793514,0.5989325052705147,0.9546902194280645
26.58019158420028,1.3153408092368437e7,1.6466378248262676,0.5442783809409801,5.592391795465649e-7,0.4716135526147793,0.7572549380386859,1.2093609340438467
26.89484022808373,1.5225748652079353e7,1.9157457444916632,0.5430219426557056,5.598150153338388e-7,0.4706825278004431,0.8751202224371527,1.4013391372394794
27.088777852407834,1.6647160568909798e7,2.104819531952838,0.5418129374206664,5.605743002516202e-7,0.46945583712804917,0.954739673069663,1.5342403669337565
27.208071635009716,1.7568430803728193e7,2.231462182350053,0.5406798500545443,5.615317599960934e-7,0.4679104967978446,1.004810403935028,1.6219122388636513
27.28164548691879,1.8141012842590168e7,2.3139849408683557,0.5396260971787986,5.626988506105396e-7,0.4660290988178911,1.0340778540562783,1.6782536984476102
27.327292030778327,1.8482284364791553e7,2.3668571266871714,0.538643540436728,5.640822377327139e-7,0.4638022687226279,1.0493275035778205,1.7140288470269045
27.35603614126055,1.8675125777030487e7,2.4004657819562296,0.5377189559296812,5.656830486114575e-7,0.46122983807745127,1.055361029357271,1.736827771319761
27.375258280915986,1.877758736709186e7,2.422485262876205,0.5368091240892525,5.675593591342504e-7,0.4582206640741908,1.0553588159729927,1.7521494051826316
27.390579551653577,1.8825072894416157e7,2.4388530128451396,0.5357626097509478,5.700743897276062e-7,0.4541972040075648,1.0502437007739256,1.7643642614582613
27.402322958215347,1.8828341065444622e7,2.449809784850929,0.5346907226254065,5.729891197393063e-7,0.4495486959823906,1.0414034567278487,1.7736931421354019
27.412413491105124,1.8808516461184207e7,2.4578324828148523,0.5336150299241664,5.761695051562172e-7,0.4444940362128451,1.0304724025588194,1.781660144621209
27.4225040239949,1.8776191833913144e7,2.464870884135698,0.5324751151888891,5.797224464036219e-7,0.4388687738428822,1.0177337146390388,1.7895658550644287
27.43290195366647,1.8737404801388275e7,2.4715370947374886,0.5312877805993322,5.835434375748059e-7,0.4328442977869544,1.0038605370618832,1.7976398364744226
27.44471302382782,1.869125523758686e7,2.4787433653199544,0.5299484565690861,5.879381845222804e-7,0.42594724837174386,0.987883132074579,1.8067172453524132
27.458326133771408,1.863764367953912e7,2.486797449738472,0.528424571883297,5.930026004390775e-7,0.4180414439954077,0.9695314495787618,1.8170532607113667
