time,N_cells,CO2,BGE,rcell,r,E,V
0.0,99.99999999999999,0.0,1.0,1.3277577146576795e-7,2.0555770618081057,8.705032159092216e-6,9.672257954546908e-7
0.28785008183295235,111.66210235656563,8.619471752564228e-7,0.9260904771831379,2.0878940329266244e-7,1.8601613651964648,9.101911848541295e-6,1.6983347288559332e-6
0.6693407828171385,141.92979324488036,2.840990992337373e-6,0.8285337597223376,3.1702656344839246e-7,1.6035261157988951,1.0450047346780134e-5,3.2777683702197847e-6
1.2191246707554662,238.6516459275201,8.377390178428054e-6,0.733716289483738,4.2268818043858757e-7,1.3746321186265686,1.5734589502382027e-5,7.3484133044996535e-6
1.843699112148101,492.58256667577405,2.18528165372546e-5,0.6855559325939149,4.659285602132117e-7,1.286495226537202,3.0924967784411974e-5,1.67188887035969e-5
2.4910234088052055,1094.013444824651,5.3033057850549626e-5,0.6661414016237929,4.7678330400649593e-7,1.2648428693877287,6.781850267134389e-5,3.7997299769521084e-5
3.146923182807052,2483.192790216882,0.00012467112023131676,0.6582966700823576,4.791225455023033e-7,1.260200999797476,0.00015351135370109145,8.666945847739618e-5
3.8028229568088983,5649.295566196193,0.0002877764838034105,0.6550232378840128,4.79629616714249e-7,1.2591959241640527,0.0003490316300524172,0.00019738280972485985
4.458722730810745,12856.47134815971,0.0006590623821460483,0.653594251256944,4.797996469649204e-7,1.2588589938341845,0.0007941548631131444,0.00044935620953327727
5.1146225048125915,29251.092252235296,0.0015040514694660819,0.6529079340152656,4.799875008369649e-7,1.2584867967605504,0.0018064638619331255,0.0010227772352255572
5.770522278814438,66500.5808198218,0.0034262004504214947,0.6524555337660222,4.803794694570614e-7,1.2577103623347268,0.0041049869912528625,0.0023271207269122455
6.356035306772203,138229.4382946975,0.007136842393809999,0.6519759439162274,4.811523318186825e-7,1.256180134629585,0.008524925744962298,0.004844982096022089
6.941548334729967,286388.9913101432,0.014842371562317361,0.65111787060865,4.828520324121109e-7,1.2528180947980874,0.01762680442704489,0.010073477565897087
7.466187692074047,546606.1342314745,0.02852657927206342,0.6495322583836068,4.862471714724048e-7,1.2461159142136127,0.033507582564597974,0.019361572733647157
7.905819119856281,929320.1047776202,0.04908771890408525,0.6467847639712931,4.925114246440088e-7,1.2337968569687534,0.056544311333304204,0.03334192642425281
8.238326784712388,1.3664757585195552e6,0.07348644068062835,0.6426721369087661,5.026403089902383e-7,1.2140054648796388,0.08213470621036352,0.05003435403999931
8.480300640296619,1.77246714675957e6,0.0976495466735256,0.6371080899165811,5.176552668518103e-7,1.184953728119485,0.10459891093427372,0.0668386836599094
8.658927769089084,2.0948147636815265e6,0.11903565718638232,0.6299235644568452,5.390555400097878e-7,1.1441287749404472,0.1203559830390639,0.08225990457414556
8.802013036768589,2.32130466065767e6,0.13736990880521485,0.6204123736459591,5.704441704407674e-7,1.0854535142369386,0.1280609981786236,0.09646157651110596
8.924974858489897,2.4429893192062047e6,0.15239055467706025,0.6079307827035741,6.16164994296819e-7,1.002454736046109,0.12663742563769165,0.10965480311796184
9.020649076561918,2.471146903068118e6,0.16256481471851691,0.5951874964394434,6.674174287783461e-7,0.9127292350929541,0.1188708471648778,0.12014485573566781
