time,N_cells,CO2,BGE,rcell
0.0,99.99999999999999,0.0,1.0,1.1176624996128295e-7
0.30331556952151056,101.85674402935204,6.756097406641387e-7,0.9358240308558078,1.9700399696516042e-7
0.6621794303585429,107.75848207104917,1.935081854271808e-6,0.8434116035844956,3.321839139430669e-7
1.2318837478348186,133.2825199534749,5.000823872736247e-6,0.7205034005681755,5.26161240872187e-7
1.8015880653110943,187.02831663186305,9.545008635883727e-6,0.6546027290419217,6.166967181081622e-7
2.736040444521098,359.43495562965023,2.224113662074232e-5,0.6098498829487492,6.502052849133694e-7
3.792184043208114,772.1228548018299,5.178135321394452e-5,0.5905416952518463,6.540166571156526e-7
4.8658323500855385,1684.3181437168162,0.00011689884749894844,0.5822212845616785,6.54316485625514e-7
5.9513336787948825,3706.7246692368453,0.0002612411548328156,0.5784836163572201,6.543386632561526e-7
7.0368350075042265,8157.620609903494,0.0005789145101385236,0.5767985084169207,6.5434006595142e-7
8.122336336213571,17953.012608664103,0.0012780922822116661,0.5760260741916272,6.54339974144758e-7
9.207837664922916,39510.40570780734,0.0028170782443694108,0.5756534577555485,6.543396824902826e-7
10.293338993632261,86953.31899039428,0.0062052897715218465,0.575434934064424,6.54339180195871e-7
11.378840322341606,191364.56860098802,0.013668134065729545,0.5752257690621128,6.543385620035762e-7
12.464341651050951,421149.3331595453,0.030122715768300987,0.5748823641134148,6.543396230196379e-7
13.549842979760296,926820.6376429296,0.06649101704458914,0.5741454243910603,6.54355985706217e-7
14.46309927479005,1.7994896762938842e6,0.12984024491241183,0.5727414790007558,6.544477288523932e-7
15.136308905111864,2.9329368669281597e6,0.21354194877332888,0.5705309759556929,6.547837066143842e-7
15.57148055854903,4.016402674608998e6,0.295770442983164,0.5677433350782892,6.556278793096345e-7
15.847409941091495,4.890648373322963e6,0.3648422504107875,0.5645641890946711,6.573301906290529e-7
16.02041586959637,5.513893626701782e6,0.41706205374950284,0.5611628784092207,6.602499360545545e-7
16.1300026864937,5.921320833741066e6,0.4543450116080501,0.5576301339651373,6.647233184994657e-7
16.20254140552457,6.170945943062233e6,0.48063083896483155,0.5539391651465811,6.711597479532235e-7
16.25708290807377,6.31599913800512e6,0.5003711272791578,0.5497307209703466,6.807974612269739e-7
16.30196057684484,6.375613601358836e6,0.5151144008884945,0.5448635668413782,6.948826004450922e-7
16.337832952472798,6.374574091998172e6,0.5248597581330477,0.5401714921790153,7.110758576643655e-7
16.373705328100755,6.3428606665635e6,0.532722155648448,0.5352356832228851,7.303229387480617e-7
16.40957770372871,6.297170232461564e6,0.5392543630274796,0.5304024142209993,7.508205536132778e-7
16.448299029353233,6.24327428341213e6,0.5453883327649542,0.5254414013300479,7.730866504110644e-7
16.491271655112378,6.183683746570649e6,0.5514935065882711,0.5202716270936655,7.97248639179562e-7
16.539471797767217,6.119851517407708e6,0.5577248241340279,0.514875363043239,8.232612867376131e-7
16.594588126600804,6.051920402643455e6,0.5642138524578711,0.509196255089548,8.513561350415326e-7
16.66023502948021,5.978379132491342e6,0.5711689273087706,0.5030777983143553,8.823642173845555e-7
16.742637169998403,5.897027450111936e6,0.5788191936948168,0.4963263467897401,9.174310943205972e-7
16.853689075649495,5.8050393077344e6,0.5874225483668976,0.4887091342669053,9.58047957657089e-7
17.00870023422492,5.705542180964056e6,0.5966472056930194,0.4804996205134123,1.003031229355393e-6
17.18219986091281,5.625581337405022e6,0.6039483764689255,0.4739442350213967,1.0397348518864535e-6
17.383132338765108,5.562720536571445e6,0.6095400670899447,0.468847774891138,1.0685298463332806e-6
17.605986904146746,5.517741917091535e6,0.6133596193117415,0.46527204647252635,1.0885485013926022e-6
17.851939044878403,5.486578073992794e6,0.6157961255438421,0.4628773606323939,1.101462574180889e-6
18.11871673299653,5.465274348486111e6,0.6172358136536424,0.46132989294631005,1.1091346718121445e-6
18.40613008501014,5.45010683117317e6,0.6180379397504683,0.4603166987938891,1.1134060595549267e-6
18.71471905963353,5.438359344228249e6,0.6184630545433866,0.45960991100097087,1.115648192004153e-6
19.048125389074233,5.4281867028130535e6,0.6186807575861494,0.4590575315667315,1.1167658811655567e-6
19.414490023816597,5.418363066751883e6,0.61879080169218,0.4585635969536009,1.1172942377891722e-6
19.828651304561355,5.407970237677709e6,0.6188482109665996,0.4580639221486934,1.1175277983180125e-6
20.314565472976994,5.396144829695224e6,0.6188823214973345,0.4575068777360586,1.1176210471151854e-6
20.91088912377782,5.381823972474689e6,0.6189089531495635,0.4568367151675866,1.1176526747002178e-6
21.685292708206426,5.363344601540999e6,0.6189374533496853,0.4559719351526764,1.1176609201831732e-6
22.772472309985844,5.337527011723507e6,0.6189754526644128,0.454759989451575,1.1176623158408224e-6
24.490606397039176,5.296981918254055e6,0.6190347560888659,0.4528462110800851,1.117662434044306e-6
27.776797969160285,5.220285281217647e6,0.6191468917174405,0.44919008413218225,1.1176624405455828e-6
35.70256880619687,5.039821346474009e6,0.6194107073663754,0.4403969919570896,1.117662443128078e-6
58.72765758655389,4.550022537321788e6,0.6201265014026508,0.41509441774722095,1.1176624487072482e-6
97.2774797104629,3.8338103136875746e6,0.621172571337536,0.3738107727590338,1.1176624567306818e-6
145.3836373134775,3.0955901533871964e6,0.622250032363943,0.32486201933337916,1.1176624649887914e-6
192.0,2.5158001182802115e6,0.623095722665307,0.2808473446196763,1.117662471473809e-6
