Formula,Compound,Ontology,Molecular_weight,Concentration_sum
C6H12O6,glucose,Sugars,180.16,0.0277537245
C3H7NO2,alanine,Amino acids,89.09,0.0081936375
C6H14N4O2,arginine,Amino acids,174.2,0.0028128283
C4H7NO4,aspartic acid,Amino acids,133.1,0.0030427563000000003
C5H9NO4,glutamic acid,Amino acids,147.13,0.0114524571
C2H5NO2,glycine,Amino acids,75.07,0.0083925027
C6H9NO2,histidine,Amino acids,155.16,0.0010956644
C6H13NO2,isoleucine,Amino acids,131.18,0.0039260530000000005
C6H13NO3,leucine,Amino acids,131.18,0.005641318900000001
C6H14N2O2,lysine,Amino acids,146.19,0.0047882892
C5H11NO2S,methionine,Amino acids,149.21,0.0012063571000000002
C9H11NO2,phenylalanine,Amino acids,165.19,0.0029662452000000002
C5H9NO2,proline,Amino acids,115.13,0.0063405483
C3H7NO3,serine,Amino acids,105.09,0.0025691530000000002
C4H9NO3,threonine,Amino acids,119.12,0.0019308261
C9H11NO3,tyrosine,Amino acids,181.19,0.0009382365
C5H11NO2,valine,Amino acids,117.15,0.0054631749
C5H5N5,adenine,Nucleotides,135.15,0.00032700000000000003
C5H5N5O,guanine,Nucleotides,151.13,0.000306
C4H5N3O,cytosine,Nucleotides,111.1,0.000196
C4H4N2O2,uracil,Nucleotides,112.09,0.000281
C6H12O6,mannose,Sugars,180.16,0.0012711206
C12H22O11,starch,Sugars,342.3,0.014607197799999999
