time,N_cells,CO2,BGE
0.0,99.99999999999999,0.0,1.0
0.290117995360499,111.63941101094632,9.661860933558737e-7,0.917870915129748
0.6741580481123327,141.95683940834923,3.203904808630568e-6,0.8108042314755873
1.2273971091820375,239.1200914616218,9.527172092466912e-6,0.7082520030678338
1.8587307607770882,496.35972558176877,2.5126067884002682e-5,0.6564438607820867
2.5088572003790053,1102.9620539716807,6.113127507330628e-5,0.635717035529865
3.1697760800814505,2510.931281570146,0.0001442983886019037,0.6272920981018019
3.830694959783896,5729.305811348419,0.00033421395250652584,0.6237885004930711
4.491613839486342,13078.838260812034,0.0007678213323336441,0.6222913674404918
5.1525327191887875,29859.080832641255,0.0017577834401555166,0.6216428168549551
5.813451598891233,68169.72619491904,0.0040179393880610025,0.6213595874224958
6.474370478593679,155635.1725988508,0.009178056880541206,0.6212343512003354
7.065940334347218,325863.85007792653,0.019221106482189304,0.6211805990107194
7.657510190100757,682279.9419298397,0.040249711916116065,0.6211491872210957
8.249080045854296,1.4285146176848838e6,0.08428199133217938,0.6211221339126544
8.840649901607835,2.9908707815701594e6,0.17648925581068076,0.6210839194453233
9.432219757361374,6.261687838733923e6,0.3696101665507872,0.6210124562056112
10.023789613114912,1.3108246118688868e7,0.7742258980035073,0.6208657931202777
10.615359468868451,2.7435382572896957e7,1.6225844223706256,0.6205550781013106
11.20692932462199,5.739680393033299e7,3.4043190423834386,0.6198791441255699
11.728626778382106,1.0996898020543495e8,6.558274449134032,0.6185887295911147
12.135361403867336,1.8236451404782447e8,10.970851141436265,0.6165327552525123
12.407514566828564,2.555127098044154e8,15.538187000666781,0.6139776076809237
12.581199605407102,3.165595581419779e8,19.47364832815981,0.6112431652899096
12.689218797416185,3.614049344104705e8,22.479929506723273,0.6086087081043793
12.755607037761735,3.918517877854302e8,24.61631786639161,0.6062474863879943
12.796269633336708,4.115915158337248e8,26.075289805672874,0.604233153592479
12.821218650498558,4.2406313832752955e8,27.05260719672691,0.6025713277381618
12.836608343116975,4.318325508402081e8,27.70287012606546,0.6012301742464522
12.84616791734186,4.366251114985902e8,28.135088285726916,0.6001641383939744
12.85214883015794,4.3954493343157023e8,28.4220756301243,0.5993278805388349
12.855945832085995,4.4129893125120074e8,28.612915064945675,0.5986770645835707
12.858460181963439,4.42346608702526e8,28.74222355179961,0.5981633246728327
12.860293339534485,4.4297510648650014e8,28.83465924557301,0.5977327461674483
12.861859938379396,4.433282302967026e8,28.905629387603668,0.5973331984923266
12.862957977506591,4.434266216532723e8,28.945342747752676,0.5970563119674984
12.863905962227307,4.434167269092448e8,28.971321599788865,0.5968350966551048
12.864853946948022,4.433482568919199e8,28.991125014373786,0.5966334995443113
12.865801931668738,4.43248710657992e8,29.007118030439056,0.5964467178865441
12.86678715241673,4.431299856190733e8,29.02160737505749,0.5962620231037566
12.867836024197588,4.4299619195465565e8,29.035878790951376,0.5960709611536459
12.868972390569626,4.428477044197632e8,29.05073496579299,0.5958670690393587
12.870213991972879,4.426838318787499e8,29.06666367779172,0.595645922032089
12.87160586620018,4.424993872859527e8,29.084374197295517,0.5953988177520083
12.873229066641022,4.422839622334413e8,29.10496043038313,0.5951110272322423
12.87521446769255,4.4202033170262384e8,29.13011107928009,0.5947591840778094
12.877791306369009,4.4167812068180615e8,29.1627428123727,0.594302590597319
12.881418760446826,4.411963869172076e8,29.208674493495348,0.5936598651875481
12.88719648110789,4.4042917061972225e8,29.281825682314558,0.5926362290900536
12.898415924081236,4.38939890440221e8,29.42382469663555,0.5906490999642413
12.925720085127507,4.353214717509429e8,29.768838742254655,0.5858205558882996
13.006312859561008,4.247561662867228e8,30.776229377093983,0.5717180614266412
13.113758571298735,4.1119786371742964e8,32.068731091062695,0.5536142534498726
13.240492056501603,3.964525240171007e8,33.47350104805166,0.5339212590125678
13.390197212826855,3.8131148178331095e8,34.914021156954824,0.513701487602696
13.559283388938674,3.6748626548402447e8,36.226001964917266,0.49525024163624914
13.749028940715926,3.5589558317740357e8,37.320888136675435,0.4798049440178182
13.95866846996612,3.4706354086262095e8,38.14831230182812,0.4680729881043274
14.188709671484537,3.4085300571125567e8,38.72139846615527,0.45987410950183194
14.438460645993198,3.367868774592582e8,39.086114382502274,0.4545693059295896
14.706782503070965,3.3425342174247015e8,39.301432833220495,0.4513370480337306
14.991809610793352,3.3270232413211226e8,39.42049679554507,0.4494368921829537
15.291545204846646,3.317240609840853e8,39.48291885950995,0.448316992321392
15.604046843798569,3.3105421648310477e8,39.514345663583285,0.4476203770419818
15.927623564717853,3.305387825925054e8,39.52977514157654,0.44713863197916015
16.260936014912364,3.3009484483206755e8,39.537328163294774,0.44675919488018373
16.603179631732644,3.296802081779983e8,39.54115146581666,0.4464246560131999
16.95449217124658,3.29273715076826e8,39.54326847877887,0.44610655019436174
17.316845863063143,3.2886330877265227e8,39.54463428746252,0.4457898661031256
17.69572368245968,3.284384022733625e8,39.54569412711985,0.4454638471546186
18.102495200625523,3.2798439391151124e8,39.546664905394216,0.4451161039409545
18.55657621961566,3.27478925297542e8,39.54767187385462,0.44472891303860096
19.08771304846842,3.2688877994243747e8,39.54881436599323,0.4442764072002615
19.742872739792443,3.261620929748713e8,39.55020702042156,0.44371831558044694
20.60555137868649,3.25207161684412e8,39.55203119698857,0.44298332372526444
21.84868129547819,3.2383486786033165e8,39.554649157988045,0.4419238297042139
23.90617915524496,3.2157332565442145e8,39.5589576468205,0.44016930534029114
28.136779306381165,3.169611850985806e8,39.567722248098505,0.43655809504906784
